,robot_voltage,supply_voltage_2,torque_sensor_a_3,torque_sensor_b_6,torque_sensor_b_3,supply_voltage_5,io_current,torque_sensor_a_4,supply_voltage_3,torque_sensor_a_6,torque_sensor_b_4,brake_voltage_2,brake_voltage_3,power_load_mech_6,power_motor_el_1,supply_voltage_1,torque_sensor_b_5,torque_sensor_b_2,power_motor_mech_1,motor_iq_2
torque_sensor_b_4,1.3234702287993693e-69,2.9712954740702342e-05,0.0,0.0,0.0,1.3422797322933398e-145,8.687390988509816e-11,0.0,0.0001913244256121324,0.0,0.0,0.2773059204343738,0.06196040516666464,0.0,0.0,1.3836808957625503e-06,0.0,0.0,0.0,0.0
brake_voltage_2,8.25187350218485e-250,0.0,0.9757384709221801,7.365395309066245e-17,0.20513375869684367,1.6958895423103715e-306,0.35009208957436594,0.026615881742353686,0.0,2.3611348655836484e-11,0.2773059204343738,0.0,5.591330782490393e-30,4.5648176116892016e-130,0.0,6.038401114725682e-237,9.040725579031354e-08,0.11527596901320471,0.0,0.00232021378772659
brake_voltage_3,0.0,8.557101378680877e-238,0.24829841217408247,4.8124532836456883e-17,0.002686311995637867,0.0,0.6079555043536479,0.1607423305216968,0.0,4.027800969151361e-43,0.06196040516666464,5.591330782490393e-30,0.0,1.3212484014762473e-176,0.0,0.0,4.5581311252307556e-15,0.03002507815509731,0.0,2.2511820036908877e-06
power_load_mech_6,0.0,0.0,0.0,6.093699887218857e-249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5648176116892016e-130,1.3212484014762473e-176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
power_motor_el_1,0.0,0.0,3.636241932519385e-292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supply_voltage_1,0.0,0.0,1.8509748531229425e-100,0.0,7.69531929308251e-224,0.0,0.0,1.2713541402577137e-47,0.0,3.4076607359849175e-293,1.3836808957625503e-06,6.038401114725682e-237,0.0,0.0,0.0,0.0,0.0,2.041817052351191e-163,0.0,6.566822124303761e-83
torque_sensor_b_5,0.0,0.0,0.0,0.0,0.0,0.0,3.0630346868908904e-44,0.0,0.0,0.0,0.0,9.040725579031354e-08,4.5581311252307556e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torque_sensor_b_2,2.3666712873877657e-37,4.372342230691747e-24,0.0,0.0,0.0,5.74716268918915e-252,1.6039744507457398e-34,0.0,5.1657009357505974e-52,1.4806685730227657e-225,0.0,0.11527596901320471,0.03002507815509731,0.0,0.0,2.041817052351191e-163,0.0,0.0,0.0,0.0
power_motor_mech_1,0.0,0.0,8.876027683693835e-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor_iq_2,1.182233860343013e-50,0.0,0.0,0.0,0.0,8.845690379430389e-07,1.851620048067074e-08,0.0,3.155700066989669e-185,0.0,0.0,0.00232021378772659,2.2511820036908877e-06,0.0,0.0,6.566822124303761e-83,0.0,0.0,0.0,0.0
